"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131"
"000532.SZ",3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,1.5,1.5,1.5,1.5,1.5,2,2,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA
"000533.SZ",1.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2.5,2.5,2.5,2.75,2.75,2.75,3,3,2.25,2.1667,1.75,1.75,1.75,1.8,1.8,1.6667,1.6667,1.6667,1.6667,1.5,1.3333,1.3333,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000534.SZ",NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.6667,1.6667,1.5714,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.6,2,2,2,2,2
"000536.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.3333,2.3333,2.3333,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.3333,1,1,1,1,1,1,1,1,1,1.5,1.6667,1.6667,2,2,2,2,2,2,2,1.6667,1.6667,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,2,2,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.5,1,1,1,1,2,2,3,2.5,2.5,2.5,2,2,2,2,2,2,2,2
"000537.SZ",2,2,1,1,2.5,2.5,2.5,2.5,4,4,4,4,4,4,3,3,2,2,2,2,NA,NA,NA,NA,1,1.3333,1.75,1.75,1.6,1.6,1.75,2,2,2,2,2,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1.3333,1.4,1.3333,1.3333,1.3333,1.3333
"000538.SZ",2.0588,2.0588,2.1333,2.1429,2.15,2.1579,2.125,2.0625,2,2.0476,2.1053,2.1111,2.1053,2.1053,2,1.8333,1.7857,1.7857,1.8,1.8571,1.6875,1.7059,1.8333,1.6842,1.6667,1.5882,1.5625,1.5385,1.3571,1.3636,1.4167,1.3333,1.3846,1.3846,1.5,1.5,1.5714,1.6,1.5833,1.55,1.4737,1.4211,1.4211,1.4211,1.4762,1.4762,1.5,1.5,1.5,1.5263,1.3846,1.45,1.4762,1.4444,1.4737,1.4444,1.5,1.5882,1.5625,1.5,1.4118,1.4118,1.3333,1.3158,1.3158,1.3158,1.3333,1.3333,1.3333,1.25,1.1875,1.2,1.3333,1.2667,1.3077,1.375,1.3125,1.3125,1.3333,1.3333,1.375,1.375,1.4667,1.4667,1.4667,1.4667,1.3846,1.3846,1.25,1.2222,1.2222,1.2,1.5333,1.5333,1.5714,1.5714,1.5714,1.5714,1.6667,1.6667,1.7,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.5,1.4286,1.4615,1.5,1.5,1.4375,1.4211,1.4375,1.5,1.4737,1.5,1.5,1.4545,1.4545
"000539.SZ",2.125,2.125,2,2.125,2.7778,2.7778,2.8,2.8182,2.7143,2.7143,2.5714,2.5,2.4615,2.3333,2.1429,2.25,2.1667,2.1667,2.1667,2.1818,2.1667,2.0909,2,2.1111,2.1,2.1,2,2,2.0833,1.875,1.8571,1.5833,1.7333,1.7333,1.7692,1.7692,1.7692,1.7778,1.5,2.1429,2.1429,2.1667,2.1667,2.1667,2.1667,2,2,1.6667,1.3333,1.3333,1,1.5,1.5,1.5,1.5,1.5455,1.5833,1.4444,1.4,1.4545,1.4167,1.4167,1.4545,1.4444,1.6667,1.6667,1.75,1.75,1.625,1.625,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,2,2,2,2,2.6667,2.6667,2.6667,2.6667,2.25,2,2,1.6667,1.5,1.5,1.5,1.5,1.3333,1.3333,1.3333,1.5,1.5,1.5,2,2,2,2,2,2,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA
"000540.SZ",NA,NA,NA,NA,NA,NA,1.5,1.5,2,2,1.6667,1.6667,2,2,1.5,1.6,1.6,1.5,1.5714,1.5714,1.5714,1.3333,1.2857,1.2857,1.1667,1.2857,1.3333,1.6667,1.5455,1.5455,1.5455,1.5833,1.5714,1.4545,1.6667,1.6,1.5,1.5,1.4,1.375,1.5455,1.4,1.5,1.5,1.5556,1.5556,1.5,1.6,1.6,2,2,2.25,1.8,1.8,1.8,1.8,1.6667,1.5,2,2,2,2,2,2,2,1,1,1,1.25,1.25,1.25,1.2,1.2,1.2,1,1,1.5,1.5,1.5,1.6667,1.4,1.4,1.2,1.2,1.1667,1.1667,1.2,1.3333,1.3333,1.3333,1.3333,1.4,1.2,1.2,1.25,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.4,1.1667,1.1667,1.1667,1.1667,1.1667,1.1429,1.1429,1.1429,1.25,1.25,1.25,1.3333,1.4,1.4,1.4,1.25,1.25,1.25
"000541.SZ",2.1667,2.4,2,2.5,3,3,3,3,3,3,3,3,3,3,3,3,2.625,2.5556,2.5556,2.6364,2.6,2.5833,2.6364,2.6667,2.6667,2.6923,2.625,2.1429,2,1.8,1.6667,1.6667,1.6667,1.6667,1.6,1.6,1.6667,1.6667,1.5,1.5,1.5,1.5,1.6667,1.6667,1.6,1.6,1.5,1.5,1.5,1.3333,1,1,NA,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.3333,1.2,1.2,1.2,1.3333,1.3333,1.4286,1.4286,1.4286,1.4286,1.4286,1.4286,1.25,2,2,2,2,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,1,1,1,1,1,NA,NA,NA,NA,2
"000543.SZ",NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,2.5,2.3333,2.25,2.2,2.3333,2.3333,2.4286,2.5,2.5,2.6,2.6667,2.6667,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,2,2,1.5,1.6667,1.4,1.4286,1.3333,1.1667,1.2857,1.3636,1.4444,1.4444,1.5385,1.5455,1.4545,1.4444,1.4444,1.4444,1.4,1.4,1.4,1.4,1.4,1.4,1.6,1.6667,1.6667,1.6667,1.6667,1.6667,2,NA,1,1.5,1.6667,1.6667,1.5,1.5,1.4,1.4,1.3333,1.25,1.1667,1.2857,1.2857,1.2857,1.2857,1.3333,1.6,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"000544.SZ",3,3,NA,NA,NA,2,2,2,2,2,1.5,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.5,1.3333,1.3333,1.3333,1.5,1.5,1.5,1.5,NA,1,1,1,1.3333,1.3333,1.3333,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2
"000545.SZ",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,3.5,3.5,3.5,3.5,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.6667,1.6667,1.6667,1.6667,1.6667,2,NA,1,1,1,1,1,1.5,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000546.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1.3333,1.1667,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1,1,1,1,1,1,1.1667,1.1667,1.1429,1.1429
"000547.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,1,1,1,1,1,1,1.2,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1429,1.1429,1.1429,1.1429,1.2727,1.2727,1.25,1.25,1.25,1.25
"000548.SZ",2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2.5,2.5,2.3333,2.3333,2.3333,2.3333,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA
"000550.SZ",1.7143,1.5,1.5556,1.7692,1.6667,1.7647,1.8333,1.7059,1.7778,1.875,1.9524,1.9048,1.9091,1.913,1.913,1.8571,1.88,1.7727,1.75,1.7391,1.75,1.7692,1.6538,1.6296,1.6296,1.6667,1.5789,1.6,1.4444,1.5,1.45,1.48,1.5,1.5185,1.5,1.5417,1.5,1.48,1.4,1.5185,1.52,1.56,1.5,1.5385,1.5862,1.5714,1.5556,1.5385,1.56,1.5217,1.6111,1.6667,1.64,1.64,1.625,1.64,1.6667,1.6316,1.6667,1.7059,1.8333,1.8235,1.8462,1.8571,1.8667,1.7857,1.7692,1.7857,1.7857,1.75,1.6154,1.6154,1.5,1.5,1.3889,1.4091,1.1905,1.2273,1.3182,1.4,1.3913,1.35,1.3158,1.3125,1.2,1.1875,1.2667,1.25,1.2,1.2,1.2,1.3333,1.3636,1.3,1.3,1.2222,1.2222,1.2222,1.2222,1.375,1.7143,1.7143,1.7143,1.7143,1.7143,1.5,1.6667,1.8,2,2,1.75,1.7,1.7778,1.7778,1.8,1.8,1.5714,1.5,1.75,1.75,1.75,1.75
"000551.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.3333,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2.5,2.5,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000552.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2.6667,2.6667,2.6667,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.6667,2.6667,2.5,2.5,2.6667,2.5,2.5,2.5,2.5,2.3333,2.3333,2.5,2.5,2.5,2.5,3,3,NA,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.25,2.3333,2.3333,2.3333,2.3333,2.3333,NA,NA,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,3,2.3333,2,1.6667,1.6667,1.6667,1.6667,1,1,1,1,1,NA,2,2,2,2,2,2.5,2.5,2.5,2.5,2.3333,2
"000553.SZ",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1.75,1.5,1.5,1.5,1.4286,1.4286,1.3333,1.4,1.4,1.4,1.3333,1.3333,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.25,1.2,1.2,1.3333,1.2857,1.2857,1.3333,1.3333,1.3333,1.2,1.2,1.2,1.125,1.1111,1.1,1.1667,1.1667,1.2222,1.2222,1.2222,1.2222,1.1667,1.1667,1.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.3333,1
"000554.SZ",NA,NA,NA,NA,NA,NA,NA,2,2,2,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.5,2.5,2.5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2.5,2.5,2.5,2.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"000555.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1.3333,1.5,1.5,1.4286,1.4286,1.5,1.5556,1.5,1.5,1.3,1.2727,1.1667,1.1667,1.1,1.1818,1.1667,1.2727,1.2727,1.4,1.3,1.3,1.3,1.3333,1.2727,1.3636,1.4,1.4,1.4,1.4,1.4,1.75,1.8333,1.8333,1.8333,1.8333,1.8333,1.75,1.5,1.5,1.6,1.6
"000557.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000558.SZ",2,2,2,NA,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,1.75,1.75,1.5,1.5,1.6667,1.6667,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.5,1.3333,1.25,1.25,1.25,1.25,1.25,2,2,2,2,2,2,2,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.5,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.5,1.5,1.5,1.5,1.75,1.6,1.6,1.5,1.6,1.6,1.6,1.6667,1.6667,2,2,2,2,2,2,2,2,2
"000559.SZ",2.25,2.1429,2.1429,2.1429,2.2,2.3333,2.25,2.25,2.2,2.2,2.2,2.2,2.25,2.25,2.3333,2,1.75,1.75,1.75,1.8,1.7143,1.5714,1.6667,1.6667,1.6667,1.6667,1.5,1.3333,1.4,1.5,1.5,1.5714,1.7778,1.7778,2,1.875,1.875,1.875,1.6667,1.7778,1.7778,1.7778,1.75,1.75,1.75,1.75,1.75,1.75,1.8,1.8,2,2,2,2,2,2,2,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,2,2,2,2,1.75,1.75,1.75,1.8,1.8,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
"000560.SZ",2,2,2,2,2,2,2,2,2.3333,2.3333,2.6667,2.6667,2.6667,2.6667,2.6667,2.5,2.5,2.5,3,2.5,2.5,2.5,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.5,1.5,1.5
"000561.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,1.5,1.5,1.5,1.5,1.5,1,NA,1,1,1,1,1,1,1,1,1.25,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6
"000563.SZ",2.6667,2.5,2.5,2.6667,2.6667,2.6667,2.75,2.75,2.75,2.6667,2.6667,2.6667,3,3,3,3,3,3.25,3.3333,3.6667,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2,2,1.8,1.8,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.4286,1.5714,1.5,1.4286,1.4286,1.4286,1.4286,1.5,1.5714,1.5714,1.5714,1.5714,1.5714,1.625,1.6667,1.6667,1.6667,1.6667,1.6667
"000564.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,1.875,1.875,2,2,1.8333,1.8333,1.8571,1.8571,1.875,1.875,1.875,1.875,2,2,2,2,1.75,1.75,1.6667,1.6667,1.8,1.8333,2,2,2,2.2,2.2,2.25,2.5,2.6667,2.6667,2.6667,2.6667,2.6667,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,NA,NA,2,2,2,2,2,2,NA,NA,NA,1,1,1,1,2,2,2,2,2,2,2,NA,NA,NA,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000565.SZ",2,2,1.8,2,1.8,1.75,1.75,1.75,1.75,2,2,2,2,2,2.6,1.75,1.75,1.75,1.75,1.75,1.5,1,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000566.SZ",NA,NA,NA,1.5,1.5,1.5,1.5,1.5,1.5,1,3,3,2,2,2.5,1.5,1.5,2,1,1,1.5,1.5,1.3333,1.3333,1.25,1.25,1.2,1.2,1.3333,1.3333,1.5,1.5,1.6667,1.6667,1.6667,1.6667,1.6667,1.4,1.2,1.1667,1.1667,1.1667,1.1667,1.1667,1.4,1.4,1.4,1.4,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,NA,NA,NA,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.3333,1,1.25,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,2.3333,2.3333,2.3333,2.3333,2,2,2,1.8333,1.8333,1.8333,1.8333,1.8333,1.5,1.3333,1.3333,1.3333,1,1,1,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,NA,NA,NA
"000567.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.3333,1.25,1.25,1.4,1.4,1.3333,1.3333,1.2,1.3333,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1,1,1,1,1,1,1,1,1,1
"000568.SZ",1.7857,1.7857,1.7143,1.6111,1.75,1.7391,1.72,1.7083,1.6923,1.6087,1.5652,1.5909,1.5455,1.5455,1.6364,1.7,1.7308,1.76,1.5517,1.5758,1.5882,1.5882,1.5882,1.5882,1.6471,1.6875,1.6296,1.6296,1.6667,1.625,1.5926,1.5185,1.625,1.5938,1.5,1.5217,1.5455,1.4762,1.2941,1.1154,1.1538,1.1154,1.1667,1.1613,1.125,1.1667,1.2188,1.2424,1.25,1.2188,1.2692,1.2692,1.2222,1.2632,1.2222,1.2778,1.2593,1.25,1.2593,1.2593,1.2593,1.2593,1.2,1.2,1.5714,1.5714,1.5294,1.6471,1.8,1.8,1.9474,1.8947,2.0588,2.1111,2.2353,2.2353,2.2941,2.375,2.2857,2.2308,1.9412,1.9412,1.9444,2,2,2,1.7143,1.6087,1.5909,1.5909,1.5238,1.5417,1.56,1.5833,1.4783,1.5217,1.5,1.4583,1.5714,1.55,1.5833,1.5,1.4783,1.4286,1.3636,1.4167,1.4167,1.4231,1.3793,1.4,1.3793,1.3448,1.3226,1.2593,1.25,1.1111,1.1481,1.1481,1.2222,1.2143,1.2069,1.2333
"000570.SZ",2,NA,NA,3,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5,2.6667,2.6667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000571.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667
